# %ECSV 1.0
# ---
# datatype:
# - {name: ST, datatype: string}
# - {name: WMF, datatype: float64}
# - {name: T_eq, datatype: float64}
# - {name: M_p, datatype: float64}
# - {name: Age, datatype: float64}
# - {name: R_b, datatype: float64}
# - {name: R_20mbar, datatype: float64}
# - {name: R_1mibar, datatype: float64}
# - {name: T_b, datatype: float64}
# - {name: T_int, datatype: float64}
# - {name: s_env, datatype: float64}
# - {name: I/MR^2, datatype: float64}
# - {name: L_env, datatype: float64}
# - {name: L_rad, datatype: float64}
# - {name: L_core, datatype: float64}
# - {name: L_grav, datatype: float64}
# - {name: u_tot, datatype: float64}
# meta: !!omap
# - comments: [Evolutionary tracks from the Steam Worlds Evolution Extended in Temperature model (Aguichine+2025), '', 'Model summary:',
#     'Earth-like core (32.5% iron-sulfur alloy, 67.5% mantle with Earth-like Fe/Si ratio)', Pure H2O envelope and pure H2O atmosphere
#       connected at P_b = 1000 bar, '', 'Parameters:', 'ST: Stellar Type (M or G), for radiative transfer in the atmosphere', 'WMF: Water
#       Mass Fraction, between 0.001 and 1', 'T_eq: Equilibrium temperature (K), between 500 K and 700 K', 'M_p: Planet mass (M_e), between
#       0.2 M_E and 20.0 M_E', 'Age: Host star age (Gyr), between 0.001 Gyr and 20 Gyr, assuming the planet formed at t_0 = 1 Myr (can
#       be adjusted)', '', 'Model outputs:', 'R_b: Planet radius (R_E) at 1000 bar', 'R_20mbar : Planet radius (R_E) at 20 mbar, pressure
#       level where pure steam is opaque at 1 micron', 'R_1mibar : Planet radius (R_E) at 1 microbar (0.1 Pa), pressure level of aerosols/haze
#       formation', 'T_b: Temperature (K) at 1000 bar)', 'T_int: Intrinsic temperature (K), nominal values are between 10 K and 400 K',
#     's_env: Specific entropy of H2O in the envelope (in J/K/kg)', 'I/MR^2: Normalized moment of inertia', '', 'Sources of energy for
#       the cooling, expressed as luminosities (in W):', 'L_env: energy from the H2O envelope (thermal + gravitational)', 'L_rad: radiogenic
#       heat produced in the core', 'L_core: thermal energy of the core', 'L_grav: gravitational energy of the core', 'u_tot: total energy
#       of the planet, obtained by fully integrating thermal (cp*T*dm) and gravitational energy', '', '', 'By construction:', L_env +
#       L_rad + L_core + L_grav = L_int = (4 * Pi * R_p**2) * (sigma_SB * T_int**4), d u_tot / d t = -L_int + L_rad, '', 'NB: The last
#       line of each track represents an estimate of the time until "full exhaustion".', '########################################################################################################',
#     ST    WMF    T_eq          M_p       Age       R_b  R_20mbar  R_1mibar       T_b     T_int           s_env          I/MR^2        L_env         L_rad        L_core        L_grav        u_tot]
# schema: astropy-2.0
ST WMF T_eq M_p Age R_b R_20mbar R_1mibar T_b T_int s_env I/MR^2 L_env L_rad L_core L_grav u_tot
G 0.001 400.0 0.2 0.001 0.64838 1.18718 1.31906 6563.86 953.56 16520.0 0.31761 0.0 0.0 0.0 0.0 -6.96816e+30
G 0.001 400.0 0.2 0.0015 0.62549 0.83846 0.89167 2936.69 221.09 13019.558 0.32271 409316000000000.0 53902500000000.0 2.47e+16 2384370000000000.0 -1.27689e+31
G 0.001 400.0 0.2 0.002 0.62444 0.82617 0.87837 2705.51 178.06 12664.113 0.32294 170383000000000.0 53888100000000.0 1.02817e+16 992525000000000.0 -1.30336e+31
G 0.001 400.0 0.2 0.003 0.62355 0.81703 0.86891 2494.64 145.07 12316.318 0.323145 74524800000000.0 53859300000000.0 4497160000000000.0 434127000000000.0 -1.3262e+31
G 0.001 400.0 0.2 0.005 0.62276 0.80942 0.86104 2322.35 118.36 12014.08 0.32331333 32482900000000.0 53802100000000.0 1960170000000000.0 189222000000000.0 -1.34606e+31
G 0.001 400.0 0.2 0.01 0.62191 0.80068 0.85213 2154.09 96.43 11701.854 0.32350652 13836200000000.0 53658500000000.0 834938000000000.0 80599400000000.0 -1.36751e+31
G 0.001 400.0 0.2 0.02 0.62121 0.79335 0.84468 2004.23 78.61 11408.344 0.32366042 5655490000000.0 53372800000000.0 341278000000000.0 32944700000000.0 -1.3853e+31
G 0.001 400.0 0.2 0.03 0.62088 0.78962 0.84088 1920.41 69.37 11237.259 0.32374 3117750000000.0 53093600000000.0 188139000000000.0 18161700000000.0 -1.39382e+31
G 0.001 400.0 0.2 0.05 0.6205 0.78653 0.83774 1848.62 61.89 11086.476 0.32382 1693680000000.0 52535100000000.0 102205000000000.0 9866150000000.0 -1.40319e+31
G 0.001 400.0 0.2 0.1 0.62009 0.78332 0.83446 1765.06 53.54 10905.678 0.32391081 623842000000.0 51172800000000.0 37645400000000.0 3634040000000.0 -1.41365e+31
G 0.001 400.0 0.2 0.2 0.61982 0.78142 0.83252 1711.87 48.31 10787.409 0.32397 194976000000.0 48630400000000.0 11765700000000.0 1135790000000.0 -1.42053e+31
G 0.001 400.0 0.2 0.5 0.61961 0.78021 0.83128 1674.55 44.68 10702.872 0.32401843 49235900000.0 41890000000000.0 2971120000000.0 286812000000.0 -1.42571e+31
G 0.001 400.0 0.2 1.0 0.61945 0.77924 0.83029 1644.96 41.81 10634.865 0.32405214 37290700000.0 32143900000000.0 2250290000000.0 217228000000.0 -1.42987e+31
G 0.001 400.0 0.2 2.0 0.61921 0.77783 0.82884 1595.32 36.6 10518.777 0.32411 23924800000.0 18829000000000.0 1443730000000.0 139368000000.0 -1.43612e+31
G 0.001 400.0 0.2 5.0 0.61875 0.7756 0.82654 1508.38 25.19 10308.803 0.32421 12867900000.0 3878770000000.0 776507000000.0 74958900000.0 -1.44755e+31
G 0.001 400.0 0.2 10.0 0.61852 0.77465 0.82555 1467.86 13.03 10207.751 0.32426 1361400000.0 396235000000.0 82153200000.0 7930530000.0 -1.45349e+31
G 0.001 400.0 0.2 20.0 0.6185 0.77456 0.82545 1462.8 10.0 10194.994 0.32427 0.0665317 111056000000.0 4.01482 0.387565 -1.45403e+31
G 0.001 400.0 0.254855 0.001 0.69354 1.1793 1.29888 6563.86 982.15 16520.0 0.3138 0.0 0.0 0.0 0.0 -1.26061e+31
G 0.001 400.0 0.254855 0.0015 0.67124 0.86639 0.91495 2963.21 234.13 13058.695 0.32057 575746000000000.0 68686700000000.0 3.59833e+16 3235160000000000.0 -1.99061e+31
G 0.001 400.0 0.254855 0.002 0.67008 0.8541 0.9014 2742.9 188.36 12723.379 0.32093 238785000000000.0 68668300000000.0 1.49237e+16 1341750000000000.0 -2.02867e+31
G 0.001 400.0 0.254855 0.003 0.66905 0.84543 0.89241 2531.06 154.73 12378.085 0.32124 108030000000000.0 68631600000000.0 6751740000000000.0 607030000000000.0 -2.06235e+31
G 0.001 400.0 0.254855 0.005 0.66813 0.83812 0.88483 2353.88 126.59 12070.671 0.32151636 47809200000000.0 68558600000000.0 2988000000000000.0 268643000000000.0 -2.09234e+31
G 0.001 400.0 0.254855 0.01 0.66721 0.8298 0.87632 2172.82 101.28 11737.49 0.32179613 18931500000000.0 68377000000000.0 1183190000000000.0 106377000000000.0 -2.12255e+31
G 0.001 400.0 0.254855 0.02 0.66644 0.82292 0.86931 2022.24 82.74 11444.428 0.32202885 7870790000000.0 68013900000000.0 491913000000000.0 44226500000000.0 -2.14771e+31
G 0.001 400.0 0.254855 0.03 0.66605 0.81969 0.86602 1946.95 74.11 11291.999 0.32215287 4718520000000.0 67653100000000.0 294901000000000.0 26513700000000.0 -2.16056e+31
G 0.001 400.0 0.254855 0.05 0.66562 0.81627 0.86253 1860.81 64.73 11112.358 0.32228316 2344270000000.0 66938800000000.0 146513000000000.0 13172600000000.0 -2.17455e+31
G 0.001 400.0 0.254855 0.1 0.66518 0.81311 0.85931 1773.2 55.64 10923.55 0.32241444 863659000000.0 65207900000000.0 53977500000000.0 4852960000000.0 -2.18919e+31
G 0.001 400.0 0.254855 0.2 0.66487 0.81119 0.85734 1716.77 49.92 10798.421 0.32250959 275358000000.0 61947000000000.0 17209500000000.0 1547260000000.0 -2.19925e+31
G 0.001 400.0 0.254855 0.5 0.66464 0.81001 0.85612 1677.74 45.97 10710.138 0.32258164 71259900000.0 53347100000000.0 4453640000000.0 400415000000.0 -2.20701e+31
G 0.001 400.0 0.254855 1.0 0.66444 0.8091 0.85518 1648.11 42.97 10642.151 0.32263529 51272300000.0 40978700000000.0 3204450000000.0 288103000000.0 -2.21298e+31
G 0.001 400.0 0.254855 2.0 0.66418 0.80771 0.85376 1597.45 37.5 10523.801 0.32272 28370100000.0 24003800000000.0 1773090000000.0 159414000000.0 -2.22205e+31
G 0.001 400.0 0.254855 5.0 0.66373 0.80571 0.85169 1513.27 25.97 10320.868 0.32285169 17637800000.0 4971350000000.0 1102340000000.0 99107900000.0 -2.2364e+31
G 0.001 400.0 0.254855 10.0 0.6635 0.80493 0.85088 1480.82 18.31 10240.317 0.32292 6148690000.0 1253680000000.0 384284000000.0 34549900000.0 -2.24386e+31
G 0.001 400.0 0.254855 20.0 0.6635 0.80493 0.85088 1480.82 18.31 10240.317 0.32292 0.294522 1187780000000.0 18.4073 1.65495 -2.24386e+31
G 0.001 400.0 0.32475535 0.001 0.743 1.18301 1.29136 6563.86 1003.25 16520.0 0.31147 0.0 0.0 0.0 0.0 -2.14786e+31
G 0.001 400.0 0.32475535 0.0015 0.7201 0.89645 0.9402 2985.54 246.26 13091.401 0.31919 775181000000000.0 87525600000000.0 5.06397e+16 4608620000000000.0 -3.09693e+31
G 0.001 400.0 0.32475535 0.002 0.7188 0.88418 0.92651 2767.27 196.9 12761.626 0.31962 313770000000000.0 87502100000000.0 2.04974e+16 1865430000000000.0 -3.15049e+31
G 0.001 400.0 0.32475535 0.003 0.71769 0.87584 0.91787 2546.54 161.32 12404.119 0.319998 140505000000000.0 87455400000000.0 9178690000000000.0 835333000000000.0 -3.19644e+31
G 0.001 400.0 0.32475535 0.005 0.71671 0.86887 0.91065 2363.75 131.84 12088.249 0.32032364 61953700000000.0 87362600000000.0 4047210000000000.0 368328000000000.0 -3.23703e+31
G 0.001 400.0 0.32475535 0.01 0.7157 0.8614 0.90296 2182.59 105.25 11755.994 0.32067038 24349000000000.0 87130100000000.0 1590630000000000.0 144760000000000.0 -3.27873e+31
G 0.001 400.0 0.32475535 0.02 0.71486 0.85518 0.89662 2035.22 86.46 11470.311 0.32094627 10417200000000.0 86666000000000.0 680518000000000.0 61932500000000.0 -3.3136e+31
G 0.001 400.0 0.32475535 0.03 0.71444 0.85211 0.89349 1957.35 77.21 11313.298 0.32109404 6188870000000.0 86211900000000.0 404296000000000.0 36794100000000.0 -3.33097e+31
G 0.001 400.0 0.32475535 0.05 0.71396 0.84914 0.89044 1879.37 68.39 11151.543 0.32125797 3356920000000.0 85295400000000.0 219295000000000.0 19957600000000.0 -3.3512e+31
G 0.001 400.0 0.32475535 0.1 0.71343 0.8459 0.88713 1782.52 57.98 10943.954 0.32143579 1193890000000.0 83088200000000.0 77992700000000.0 7097950000000.0 -3.37281e+31
G 0.001 400.0 0.32475535 0.2 0.71307 0.84403 0.88521 1722.12 51.7 10810.413 0.3215485 389961000000.0 78910700000000.0 25474700000000.0 2318400000000.0 -3.38758e+31
G 0.001 400.0 0.32475535 0.5 0.7128 0.84281 0.88395 1680.09 47.28 10715.487 0.32164665 97900800000.0 67955300000000.0 6395500000000.0 582041000000.0 -3.39881e+31
G 0.001 400.0 0.32475535 1.0 0.7126 0.84198 0.8831 1650.47 44.16 10647.61 0.32171017 67577000000.0 52225300000000.0 4414560000000.0 401760000000.0 -3.40716e+31
G 0.001 400.0 0.32475535 2.0 0.71228 0.84064 0.88171 1600.22 38.63 10530.346 0.32182085 43899400000.0 30489500000000.0 2867790000000.0 260991000000.0 -3.42072e+31
G 0.001 400.0 0.32475535 5.0 0.71182 0.83881 0.87981 1516.16 26.49 10327.961 0.32197482 19197800000.0 6376480000000.0 1254120000000.0 114135000000.0 -3.43993e+31
G 0.001 400.0 0.32475535 10.0 0.71155 0.838 0.87897 1479.31 13.77 10236.547 0.32206368 3268080000.0 692912000000.0 213492000000.0 19429400000.0 -3.45076e+31
G 0.001 400.0 0.32475535 20.0 0.71152 0.83791 0.87887 1474.59 10.0 10224.691 0.32207 0.116401 176575000000.0 7.60408 0.692032 -3.45202e+31
G 0.001 400.0 0.41382762 0.001 0.79642 1.19129 1.28851 6563.86 1024.64 16520.0 0.30985 0.0 0.0 0.0 0.0 -3.55149e+31
G 0.001 400.0 0.41382762 0.0015 0.77249 0.93286 0.97252 3003.56 257.21 13117.623 0.3181 1012600000000000.0 111532000000000.0 6.93316e+16 6348230000000000.0 -4.79923e+31
G 0.001 400.0 0.41382762 0.002 0.77108 0.92113 0.95944 2780.92 205.42 12782.925 0.31857667 410557000000000.0 111502000000000.0 2.81103e+16 2573870000000000.0 -4.87204e+31
G 0.001 400.0 0.41382762 0.003 0.76988 0.91326 0.95121 2568.11 169.0 12440.161 0.318995 185879000000000.0 111442000000000.0 1.27269e+16 1165310000000000.0 -4.93498e+31
G 0.001 400.0 0.41382762 0.005 0.76879 0.90671 0.94444 2382.98 138.69 12122.382 0.31937364 83424300000000.0 111324000000000.0 5711950000000000.0 523005000000000.0 -4.99205e+31
G 0.001 400.0 0.41382762 0.01 0.76766 0.89994 0.93747 2200.69 110.41 11790.101 0.31976143 32514700000000.0 111028000000000.0 2226240000000000.0 203842000000000.0 -5.05066e+31
G 0.001 400.0 0.41382762 0.02 0.76671 0.89403 0.93145 2049.92 90.46 11499.475 0.32008179 13832700000000.0 110437000000000.0 947108000000000.0 86720300000000.0 -5.10018e+31
G 0.001 400.0 0.41382762 0.03 0.76623 0.89122 0.92859 1974.31 81.17 11347.869 0.32025354 8449900000000.0 109854000000000.0 578553000000000.0 52974200000000.0 -5.12513e+31
G 0.001 400.0 0.41382762 0.05 0.7657 0.88818 0.9255 1886.65 70.9 11166.845 0.32043427 4323240000000.0 108695000000000.0 296006000000000.0 27103300000000.0 -5.15296e+31
G 0.001 400.0 0.41382762 0.1 0.76513 0.88514 0.92239 1788.49 59.99 10956.959 0.32063392 1551980000000.0 105871000000000.0 106262000000000.0 9729690000000.0 -5.18261e+31
G 0.001 400.0 0.41382762 0.2 0.76474 0.88341 0.92062 1727.42 53.44 10822.267 0.32076755 529540000000.0 100544000000000.0 36256900000000.0 3319800000000.0 -5.20315e+31
G 0.001 400.0 0.41382762 0.5 0.76443 0.88216 0.91935 1681.87 48.5 10719.545 0.32087287 119350000000.0 86542900000000.0 8171740000000.0 748232000000.0 -5.21881e+31
G 0.001 400.0 0.41382762 1.0 0.76424 0.88144 0.9186 1652.54 45.25 10652.359 0.32093571 77789800000.0 66599600000000.0 5326160000000.0 487681000000.0 -5.229e+31
G 0.001 400.0 0.41382762 2.0 0.76392 0.88024 0.91737 1604.56 39.92 10540.574 0.32105115 67089200000.0 38924900000000.0 4593500000000.0 420596000000.0 -5.24595e+31
G 0.001 400.0 0.41382762 5.0 0.76332 0.87838 0.91546 1519.96 27.02 10337.28 0.32125581 21823900000.0 8092370000000.0 1494250000000.0 136819000000.0 -5.27686e+31
G 0.001 400.0 0.41382762 10.0 0.76308 0.8777 0.91475 1485.27 14.06 10251.439 0.32132915 4185120000.0 863474000000.0 286550000000.0 26237400000.0 -5.28908e+31
G 0.001 400.0 0.41382762 20.0 0.76305 0.87761 0.91466 1480.79 10.0 10240.242 0.32135 0.159594 80880100000.0 10.9272 1.00053 -5.29091e+31
G 0.001 400.0 0.52733018 0.001 0.85328 1.21247 1.30114 6563.86 1048.5 16520.0 0.30844 0.0 0.0 0.0 0.0 -5.77528e+31
G 0.001 400.0 0.52733018 0.0015 0.82847 0.97409 1.00993 3035.41 271.38 13163.636 0.31725 1372940000000000.0 142122000000000.0 9.8506e+16 9370160000000000.0 -7.41363e+31
G 0.001 400.0 0.52733018 0.002 0.82688 0.96264 0.99721 2800.17 216.64 12812.8 0.31782 555557000000000.0 142084000000000.0 3.98602e+16 3791610000000000.0 -7.51822e+31
G 0.001 400.0 0.52733018 0.003 0.82557 0.95463 0.98866 2589.88 176.95 12476.308 0.318282 244586000000000.0 142009000000000.0 1.75486e+16 1669270000000000.0 -7.6051e+31
G 0.001 400.0 0.52733018 0.005 0.82438 0.94828 0.98209 2396.74 144.84 12146.662 0.31870727 108705000000000.0 141857000000000.0 7799340000000000.0 741895000000000.0 -7.68366e+31
G 0.001 400.0 0.52733018 0.01 0.82316 0.94215 0.97576 2217.05 115.68 11820.746 0.31913548 43021000000000.0 141482000000000.0 3086680000000000.0 293613000000000.0 -7.76373e+31
G 0.001 400.0 0.52733018 0.02 0.82216 0.93635 0.96986 2052.94 93.26 11505.436 0.31949571 17121800000000.0 140728000000000.0 1228460000000000.0 116854000000000.0 -7.82986e+31
G 0.001 400.0 0.52733018 0.03 0.82167 0.93381 0.96727 1979.01 83.88 11357.398 0.31966515 10595200000000.0 139986000000000.0 760186000000000.0 72310900000000.0 -7.86233e+31
G 0.001 400.0 0.52733018 0.05 0.82109 0.93121 0.96461 1901.1 74.45 11197.09 0.31987447 5920190000000.0 138513000000000.0 424762000000000.0 40404500000000.0 -7.90041e+31
G 0.001 400.0 0.52733018 0.1 0.82043 0.92811 0.96145 1793.87 62.11 10968.667 0.32010324 2012980000000.0 134882000000000.0 144427000000000.0 13738300000000.0 -7.94382e+31
G 0.001 400.0 0.52733018 0.2 0.82002 0.92645 0.95975 1731.15 55.11 10830.567 0.32024988 689214000000.0 128128000000000.0 49449800000000.0 4703800000000.0 -7.97116e+31
G 0.001 400.0 0.52733018 0.5 0.81968 0.92523 0.9585 1684.73 49.96 10726.048 0.32037361 169072000000.0 110251000000000.0 12130600000000.0 1153890000000.0 -7.99353e+31
G 0.001 400.0 0.52733018 1.0 0.81944 0.92452 0.95777 1656.33 46.65 10661.095 0.32045752 117006000000.0 84923800000000.0 8394980000000.0 798553000000.0 -8.0095e+31
G 0.001 400.0 0.52733018 2.0 0.81903 0.92336 0.95656 1609.92 41.25 10553.178 0.32059921 100428000000.0 49644600000000.0 7205540000000.0 685410000000.0 -8.03615e+31
G 0.001 400.0 0.52733018 5.0 0.81851 0.9217 0.95486 1524.12 27.79 10347.479 0.32078595 27761600000.0 10441100000000.0 1991840000000.0 189469000000.0 -8.07096e+31
G 0.001 400.0 0.52733018 10.0 0.81824 0.92105 0.95418 1491.51 14.71 10266.992 0.320884 7413540000.0 1170780000000.0 531908000000.0 50596500000.0 -8.08857e+31
G 0.001 400.0 0.52733018 20.0 0.8182 0.92095 0.95408 1487.02 10.0 10255.797 0.3209 0.224645 265655000000.0 16.1179 1.53317 -8.09146e+31
G 0.001 400.0 0.67196366 0.001 0.91394 1.23586 1.31554 6563.86 1073.51 16520.0 0.30731 0.0 0.0 0.0 0.0 -9.26791e+31
G 0.001 400.0 0.67196366 0.0015 0.88833 1.02039 1.05276 3063.06 284.61 13203.206 0.31648 1822790000000000.0 181102000000000.0 1.36836e+17 1.32349e+16 -1.14218e+32
G 0.001 400.0 0.67196366 0.002 0.8866 1.00948 1.04069 2816.8 227.19 12838.464 0.3171 737353000000000.0 181054000000000.0 5.53528e+16 5353750000000000.0 -1.15665e+32
G 0.001 400.0 0.67196366 0.003 0.88517 1.00162 1.03221 2612.63 185.23 12513.812 0.317612 322517000000000.0 180958000000000.0 2.42112e+16 2341720000000000.0 -1.16869e+32
G 0.001 400.0 0.67196366 0.005 0.88386 0.9957 1.02611 2420.08 152.74 12187.608 0.31808 147731000000000.0 180765000000000.0 1.10901e+16 1072640000000000.0 -1.1797e+32
G 0.001 400.0 0.67196366 0.01 0.8825 0.98984 1.02006 2231.65 120.93 11847.959 0.3185725 56693600000000.0 180285000000000.0 4255960000000000.0 411639000000000.0 -1.19117e+32
G 0.001 400.0 0.67196366 0.02 0.88144 0.9846 1.01473 2070.47 98.01 11539.971 0.31894576 23136600000000.0 179331000000000.0 1736850000000000.0 167989000000000.0 -1.20003e+32
G 0.001 400.0 0.67196366 0.03 0.88088 0.98223 1.01231 1997.34 88.36 11394.455 0.31915259 14550400000000.0 178371000000000.0 1092290000000000.0 105647000000000.0 -1.20474e+32
G 0.001 400.0 0.67196366 0.05 0.88027 0.97947 1.00951 1903.7 76.64 11202.522 0.31937239 7324770000000.0 176497000000000.0 549867000000000.0 53183400000000.0 -1.20991e+32
G 0.001 400.0 0.67196366 0.1 0.87958 0.97688 1.00687 1811.44 65.67 11006.753 0.3196186 3024260000000.0 171915000000000.0 227030000000000.0 21958400000000.0 -1.21578e+32
G 0.001 400.0 0.67196366 0.2 0.87903 0.97505 1.005 1741.1 57.54 10852.721 0.31980946 1041730000000.0 163130000000000.0 78201800000000.0 7563720000000.0 -1.22034e+32
G 0.001 400.0 0.67196366 0.5 0.87865 0.97377 1.00369 1686.05 51.23 10729.047 0.31994401 201918000000.0 140329000000000.0 15157900000000.0 1466080000000.0 -1.22352e+32
G 0.001 400.0 0.67196366 1.0 0.87844 0.97312 1.00303 1656.4 47.67 10661.246 0.32002475 118432000000.0 108256000000000.0 8890670000000.0 859910000000.0 -1.2253e+32
G 0.001 400.0 0.67196366 2.0 0.87811 0.97216 1.00205 1610.82 42.07 10555.294 0.32014441 101352000000.0 63306300000000.0 7608480000000.0 735896000000.0 -1.22811e+32
G 0.001 400.0 0.67196366 5.0 0.87754 0.97062 1.00047 1528.17 28.75 10357.386 0.32034639 40444100000.0 13212100000000.0 3036120000000.0 293655000000.0 -1.23282e+32
G 0.001 400.0 0.67196366 10.0 0.87724 0.96998 0.99981 1496.52 15.23 10279.448 0.32045376 10961100000.0 1411230000000.0 822842000000.0 79585700000.0 -1.23542e+32
G 0.001 400.0 0.67196366 20.0 0.87718 0.96987 0.9997 1492.15 10.0 10268.586 0.32047 0.313609 191922000000.0 23.5425 2.27705 -1.23586e+32
G 0.001 400.0 0.85626648 0.001 0.97845 1.27201 1.34474 6563.86 1099.92 16520.0 0.3064 0.0 0.0 0.0 0.0 -1.47308e+32
G 0.001 400.0 0.85626648 0.0015 0.95214 1.07239 1.10171 3100.44 300.26 13256.151 0.31583 2465860000000000.0 230774000000000.0 1.9446e+17 1.91585e+16 -1.75662e+32
G 0.001 400.0 0.85626648 0.002 0.95024 1.06164 1.08985 2837.76 238.8 12870.619 0.31651 982819000000000.0 230713000000000.0 7.75062e+16 7635990000000000.0 -1.77714e+32
G 0.001 400.0 0.85626648 0.003 0.94868 1.05363 1.0811 2631.0 192.99 12543.896 0.317072 415116000000000.0 230590000000000.0 3.27365e+16 3225230000000000.0 -1.79391e+32
G 0.001 400.0 0.85626648 0.005 0.9473 1.04789 1.0752 2430.26 158.6 12205.358 0.31756091 187635000000000.0 230344000000000.0 1.47971e+16 1457830000000000.0 -1.80876e+32
G 0.001 400.0 0.85626648 0.01 0.94589 1.04228 1.06941 2236.55 125.38 11857.073 0.31806963 71665700000000.0 229732000000000.0 5651630000000000.0 556805000000000.0 -1.82404e+32
G 0.001 400.0 0.85626648 0.02 0.94474 1.03768 1.06471 2087.1 102.9 11572.542 0.31848517 30977600000000.0 228513000000000.0 2442920000000000.0 240680000000000.0 -1.83642e+32
G 0.001 400.0 0.85626648 0.03 0.94414 1.03526 1.06225 2005.31 91.72 11410.506 0.31869852 18584300000000.0 227300000000000.0 1465580000000000.0 144391000000000.0 -1.84285e+32
G 0.001 400.0 0.85626648 0.05 0.94349 1.03267 1.05961 1911.6 79.56 11218.965 0.31893545 9408910000000.0 224906000000000.0 741997000000000.0 73102300000000.0 -1.84989e+32
G 0.001 400.0 0.85626648 0.1 0.94275 1.03016 1.05705 1816.49 67.91 11017.644 0.31919871 3852390000000.0 219041000000000.0 303804000000000.0 29931100000000.0 -1.85791e+32
G 0.001 400.0 0.85626648 0.2 0.94219 1.02839 1.05525 1743.96 59.28 10859.068 0.31939723 1318730000000.0 207912000000000.0 103996000000000.0 10245800000000.0 -1.86386e+32
G 0.001 400.0 0.85626648 0.5 0.94177 1.02718 1.05401 1689.19 52.77 10736.183 0.31954737 279875000000.0 178738000000000.0 22071300000000.0 2174480000000.0 -1.86834e+32
G 0.001 400.0 0.85626648 1.0 0.94154 1.02652 1.05333 1658.58 49.05 10666.256 0.31963268 161491000000.0 137983000000000.0 12735300000000.0 1254700000000.0 -1.87092e+32
G 0.001 400.0 0.85626648 2.0 0.94117 1.02562 1.0524 1614.35 43.3 10563.583 0.31975936 134548000000.0 80739000000000.0 10610600000000.0 1045360000000.0 -1.87487e+32
G 0.001 400.0 0.85626648 5.0 0.94052 1.02407 1.05081 1532.31 29.83 10367.497 0.31999663 56945400000.0 16602100000000.0 4490770000000.0 442436000000.0 -1.8818e+32
G 0.001 400.0 0.85626648 10.0 0.94021 1.02345 1.05018 1501.45 16.2 10291.673 0.32011 10570000000.0 2084670000000.0 833561000000.0 82123300000.0 -1.88521e+32
G 0.001 400.0 0.85626648 20.0 0.94021 1.02345 1.05018 1501.45 16.2 10291.673 0.32011 0.501017 1821600000000.0 39.5109 3.89264 -1.88521e+32
G 0.001 400.0 1.09111896 0.001 1.04688 1.31125 1.37676 6563.86 1127.92 16520.0 0.30568 0.0 0.0 0.0 0.0 -2.32682e+32
G 0.001 400.0 1.09111896 0.0015 1.02012 1.12888 1.15528 3138.4 316.23 13309.309 0.3152 3321330000000000.0 294070000000000.0 2.74013e+17 2.7737e+16 -2.69929e+32
G 0.001 400.0 1.09111896 0.002 1.01804 1.11855 1.14392 2861.75 251.22 12907.155 0.31594333 1317750000000000.0 293991000000000.0 1.08715e+17 1.10047e+16 -2.72821e+32
G 0.001 400.0 1.09111896 0.003 1.01636 1.11065 1.13525 2653.14 202.18 12579.925 0.31654667 550393000000000.0 293835000000000.0 4.54079e+16 4596420000000000.0 -2.75174e+32
G 0.001 400.0 1.09111896 0.005 1.0149 1.10508 1.12951 2443.94 165.21 12229.138 0.317062 242099000000000.0 293521000000000.0 1.99734e+16 2021810000000000.0 -2.77202e+32
G 0.001 400.0 1.09111896 0.01 1.01342 1.09976 1.12404 2243.33 130.28 11869.635 0.31758846 91601700000000.0 292741000000000.0 7557220000000000.0 764981000000000.0 -2.79258e+32
G 0.001 400.0 1.09111896 0.02 1.01227 1.09559 1.11979 2092.25 106.37 11582.598 0.31799781 38814600000000.0 291201000000000.0 3202240000000000.0 324147000000000.0 -2.80867e+32
G 0.001 400.0 1.09111896 0.03 1.01162 1.09354 1.11771 2022.05 96.45 11444.046 0.31822837 25201000000000.0 289641000000000.0 2079100000000000.0 210458000000000.0 -2.81757e+32
G 0.001 400.0 1.09111896 0.05 1.0109 1.09108 1.11521 1927.2 83.69 11251.3 0.31848792 12945000000000.0 286578000000000.0 1067970000000000.0 108106000000000.0 -2.8277e+32
G 0.001 400.0 1.09111896 0.1 1.01011 1.0885 1.11259 1819.3 69.95 11023.704 0.31876322 4797010000000.0 279116000000000.0 395757000000000.0 40060600000000.0 -2.83866e+32
G 0.001 400.0 1.09111896 0.2 1.00953 1.0869 1.11096 1749.72 61.44 10871.834 0.31897187 1779140000000.0 264963000000000.0 146780000000000.0 14857900000000.0 -2.84674e+32
G 0.001 400.0 1.09111896 0.5 1.00905 1.08569 1.10973 1693.09 54.45 10745.02 0.31913914 401810000000.0 227593000000000.0 33149700000000.0 3355580000000.0 -2.85338e+32
G 0.001 400.0 1.09111896 1.0 1.00878 1.08502 1.10905 1661.25 50.51 10672.399 0.31923693 222520000000.0 175556000000000.0 18358100000000.0 1858310000000.0 -2.85717e+32
G 0.001 400.0 1.09111896 2.0 1.00842 1.08419 1.10819 1616.25 44.34 10568.039 0.31936514 152295000000.0 103015000000000.0 12564500000000.0 1271840000000.0 -2.86213e+32
G 0.001 400.0 1.09111896 5.0 1.00785 1.08285 1.10683 1535.24 30.39 10374.61 0.31956978 59478000000.0 21023600000000.0 4906990000000.0 496711000000.0 -2.87018e+32
